ID,title,surname,middle_name,name,full_name,born,nickname,aka,gender,child_of,birthday,place_of_birth,day_of_death,place_of_death,age,occupation,religion,comment
0,,unknown,,,unknown ,,,,,,,,,,,,,
1,,poso,,,poso ,,,,male,0,,,,,,,,
2,,padre,,,padre ,,,,male,,,,,,,,,
3,,madre,,,madre ,,,,female,1,,,,,,,,
4,,hermano,,,hermano ,,,,male,0,,,,,,,,
5,,hermana,,,hermana ,,,,female,0,,,,,,,,
6,,hija,,,hija ,,,,female,2,,,,,,,,
7,,hijo,,,hijo ,,,,male,2,,,,,,,,
8,,abuelo,,,abuelo ,,,,male,5,,,,,,,,
9,,abuela,,,abuela ,,,,female,,,,,,,,,
10,,tio,,,tio ,,,,male,,,,,,,,,
11,,tia,,,tia ,,,,female,1,,,,,,,,
12,,primo,,,primo ,,,,divers,3,,,,,,,,
13,,posa,,,posa ,,,,female,,,,,,,,,
14,,padrasto,,,padrasto ,,,,male,,,,,,,,,
15,,bisabuela,,,bisabuela ,,,,female,,,,,,,,,
16,,alguien,,,alguien ,,,,,5,,,,,,,,
