ID,title,surname,middle_name,name,full_name,born,nickname,aka,gender,child_of,birthday,place_of_birth,day_of_death,place_of_death,age,occupation,religion,comment
0,,unknown,,,unknown ,,,,,,,,,,,,,
1,,Husband,,,Husband ,,,,Male,0,,,,,,,,
2,,Father,,,Father ,,,,Male,,,,,,,,,
3,,Mother,,,Mother ,,,,Female,1,,,,,,,,
4,,Brother,,,Brother ,,,,Male,0,,,,,,,,
5,,Sister,,,Sister ,,,,Female,0,,,,,,,,
6,,Daughter,,,Daughter ,,,,Female,2,,,,,,,,
7,,Son,,,Son ,,,,Male,2,,,,,,,,
8,,Grandfather,,,Grandfather ,,,,Male,5,,,,,,,,
9,,Grandmother,,,Grandmother ,,,,Female,,,,,,,,,
10,,Oncle,,,Oncle ,,,,Male,,,,,,,,,
11,,Aunt,,,Aunt ,,,,Female,1,,,,,,,,
12,,Cousin,,,Cousin ,,,,divers,3,,,,,,,,
13,,Wife,,,Wife ,,,,Female,,,,,,,,,
14,,Stepfather,,,Stepfather ,,,,Male,,,,,,,,,
15,,Grandgrandmother,,,Grandgrandmother ,,,,Female,,,,,,,,,
16,,Someone,,,Someone ,,,,,5,,,,,,,,
